Year,Month,Day,Hour,Minute,Second,KUM_META.CO
2020,01,01,00,00,00,211.50512
2020,01,01,01,00,00,210.36758
2020,01,01,02,00,00,205.80065
2020,01,01,03,00,00,200.55484
2020,01,01,04,00,00,192.632
2020,01,01,05,00,00,193.09002
2020,01,01,06,00,00,193.21742
2020,01,01,07,00,00,185.66838
2020,01,01,08,00,00,181.48128
2020,01,01,09,00,00,181.85939
2020,01,01,10,00,00,183.66506
2020,01,01,11,00,00,184.54824
2020,01,01,12,00,00,186.642
2020,01,01,13,00,00,183.11251
2020,01,01,14,00,00,185.58653
2020,01,01,15,00,00,183.44077
2020,01,01,16,00,00,180.24878
2020,01,01,17,00,00,182.75395
2020,01,01,18,00,00,185.58072
2020,01,01,19,00,00,181.42756
2020,01,01,20,00,00,182.36123
2020,01,01,21,00,00,181.0791
2020,01,01,22,00,00,180.93088
2020,01,01,23,00,00,177.55843
2020,01,02,00,00,00,176.96999
2020,01,02,01,00,00,177.91419
2020,01,02,02,00,00,175.77724
2020,01,02,03,00,00,176.73282
2020,01,02,04,00,00,174.16041
2020,01,02,05,00,00,173.37992
2020,01,02,06,00,00,176.75172
2020,01,02,07,00,00,182.70002
2020,01,02,08,00,00,181.63746
2020,01,02,09,00,00,184.3218
2020,01,02,10,00,00,181.27116
2020,01,02,11,00,00,187.48844
2020,01,02,12,00,00,190.91224
2020,01,02,13,00,00,188.43946
2020,01,02,14,00,00,166.85994
2020,01,02,15,00,00,170.03195
2020,01,02,16,00,00,171.70508
2020,01,02,17,00,00,164.15196
2020,01,02,18,00,00,168.86562
2020,01,02,19,00,00,175.73899
2020,01,02,20,00,00,190.32768
2020,01,02,21,00,00,193.08464
2020,01,02,22,00,00,188.13424
2020,01,02,23,00,00,188.45605
2020,01,03,00,00,00,194.47913
2020,01,03,01,00,00,202.60306
2020,01,03,02,00,00,200.17006
2020,01,03,03,00,00,194.38932
2020,01,03,04,00,00,193.73
2020,01,03,05,00,00,196.94606
2020,01,03,06,00,00,197.7998
2020,01,03,07,00,00,197.62494
2020,01,03,08,00,00,199.41407
2020,01,03,09,00,00,201.69851
2020,01,03,10,00,00,216.92543
2020,01,03,11,00,00,218.10888
2020,01,03,12,00,00,214.17292
2020,01,03,13,00,00,213.72263
2020,01,03,14,00,00,222.02987
2020,01,03,15,00,00,225.36316
2020,01,03,16,00,00,221.49358
2020,01,03,17,00,00,214.76436
2020,01,03,18,00,00,212.65812
2020,01,03,19,00,00,203.84028
2020,01,03,20,00,00,194.22046
2020,01,03,21,00,00,179.76046
2020,01,03,22,00,00,170.72178
2020,01,03,23,00,00,165.7065
2020,01,04,00,00,00,168.77647
2020,01,04,01,00,00,172.6295
2020,01,04,02,00,00,177.73008
2020,01,04,03,00,00,178.74668
2020,01,04,04,00,00,181.52919
2020,01,04,05,00,00,180.47251
2020,01,04,06,00,00,177.81021
2020,01,04,07,00,00,182.49551
2020,01,04,08,00,00,180.75192
2020,01,04,09,00,00,181.55367
2020,01,04,10,00,00,182.30989
2020,01,04,11,00,00,181.85938
2020,01,04,12,00,00,184.97704
2020,01,04,13,00,00,181.84349
2020,01,04,14,00,00,185.34312
2020,01,04,15,00,00,189.02344
2020,01,04,16,00,00,189.94828
2020,01,04,17,00,00,191.62055
2020,01,04,18,00,00,188.15895
2020,01,04,19,00,00,187.19284
2020,01,04,20,00,00,184.19076
2020,01,04,21,00,00,188.93535
2020,01,04,22,00,00,192.73554
2020,01,04,23,00,00,196.13012
2020,01,05,00,00,00,194.07159
2020,01,05,01,00,00,196.81136
2020,01,05,02,00,00,194.37515
2020,01,05,03,00,00,195.97438
2020,01,05,04,00,00,197.90078
2020,01,05,05,00,00,200.09918
2020,01,05,06,00,00,201.85072
2020,01,05,07,00,00,201.67606
2020,01,05,08,00,00,205.65714
2020,01,05,09,00,00,206.04255
2020,01,05,10,00,00,211.63704
2020,01,05,11,00,00,213.65733
2020,01,05,12,00,00,215.26515
2020,01,05,13,00,00,214.71989
2020,01,05,14,00,00,217.0633
2020,01,05,15,00,00,223.67565
2020,01,05,16,00,00,248.91663
2020,01,05,17,00,00,238.3247
2020,01,05,18,00,00,242.69742
2020,01,05,19,00,00,229.27936
2020,01,05,20,00,00,225.57112
2020,01,05,21,00,00,216.89122
2020,01,05,22,00,00,217.45172
2020,01,05,23,00,00,213.74714
2020,01,06,00,00,00,211.7537
2020,01,06,01,00,00,202.8091
2020,01,06,02,00,00,202.87978
2020,01,06,03,00,00,204.15481
2020,01,06,04,00,00,203.94449
2020,01,06,05,00,00,193.97149
2020,01,06,06,00,00,190.58571
2020,01,06,07,00,00,189.97085
2020,01,06,08,00,00,185.61187
2020,01,06,09,00,00,186.54403
2020,01,06,10,00,00,186.37733
2020,01,06,11,00,00,185.44216
2020,01,06,12,00,00,186.27313
2020,01,06,13,00,00,183.82382
2020,01,06,14,00,00,186.1784
2020,01,06,15,00,00,189.89824
2020,01,06,16,00,00,195.16143
2020,01,06,17,00,00,188.34606
2020,01,06,18,00,00,187.77718
2020,01,06,19,00,00,183.74647
2020,01,06,20,00,00,180.7227
2020,01,06,21,00,00,179.42769
2020,01,06,22,00,00,176.58351
2020,01,06,23,00,00,175.43286
2020,01,07,00,00,00,174.90201
2020,01,07,01,00,00,173.88865
2020,01,07,02,00,00,171.86276
2020,01,07,03,00,00,172.7496
2020,01,07,04,00,00,175.63374
2020,01,07,05,00,00,174.14064
2020,01,07,06,00,00,174.49211
2020,01,07,07,00,00,185.41939
2020,01,07,08,00,00,186.47035
2020,01,07,09,00,00,186.38378
2020,01,07,10,00,00,181.70707
2020,01,07,11,00,00,177.97219
2020,01,07,12,00,00,175.34586
2020,01,07,13,00,00,181.22499
2020,01,07,14,00,00,172.67376
2020,01,07,15,00,00,173.03909
2020,01,07,16,00,00,NaN
2020,01,07,17,00,00,184.09644
2020,01,07,18,00,00,183.94935
2020,01,07,19,00,00,190.82632
2020,01,07,20,00,00,190.13992
2020,01,07,21,00,00,192.53682
2020,01,07,22,00,00,194.90579
2020,01,07,23,00,00,201.41782
2020,01,08,00,00,00,197.45973
2020,01,08,01,00,00,200.78106
2020,01,08,02,00,00,203.97757
2020,01,08,03,00,00,207.39966
2020,01,08,04,00,00,212.06025
2020,01,08,05,00,00,213.80298
2020,01,08,06,00,00,218.50288
2020,01,08,07,00,00,220.3019
2020,01,08,08,00,00,217.84228
2020,01,08,09,00,00,198.09414
2020,01,08,10,00,00,198.79365
2020,01,08,11,00,00,205.41861
2020,01,08,12,00,00,220.13412
2020,01,08,13,00,00,230.26091
2020,01,08,14,00,00,221.74687
2020,01,08,15,00,00,219.1446
2020,01,08,16,00,00,215.60973
2020,01,08,17,00,00,206.081
2020,01,08,18,00,00,201.17463
2020,01,08,19,00,00,186.03274
2020,01,08,20,00,00,177.84802
2020,01,08,21,00,00,173.26799
2020,01,08,22,00,00,172.78397
2020,01,08,23,00,00,168.47012
2020,01,09,00,00,00,168.32425
2020,01,09,01,00,00,164.057
2020,01,09,02,00,00,163.973
2020,01,09,03,00,00,167.87868
2020,01,09,04,00,00,171.35231
2020,01,09,05,00,00,169.04307
2020,01,09,06,00,00,174.26718
2020,01,09,07,00,00,177.75951
2020,01,09,08,00,00,179.14389
2020,01,09,09,00,00,180.65353
2020,01,09,10,00,00,177.9954
2020,01,09,11,00,00,178.22827
2020,01,09,12,00,00,179.94801
2020,01,09,13,00,00,180.89757
2020,01,09,14,00,00,186.5189
2020,01,09,15,00,00,194.01638
2020,01,09,16,00,00,202.08423
2020,01,09,17,00,00,199.80679
2020,01,09,18,00,00,232.85716
2020,01,09,19,00,00,201.35616
2020,01,09,20,00,00,205.18837
2020,01,09,21,00,00,211.4065
2020,01,09,22,00,00,212.18078
2020,01,09,23,00,00,206.25029
2020,01,10,00,00,00,207.66905
2020,01,10,01,00,00,202.80156
2020,01,10,02,00,00,201.22749
2020,01,10,03,00,00,200.26654
2020,01,10,04,00,00,206.03439
2020,01,10,05,00,00,207.62029
2020,01,10,06,00,00,215.4456
2020,01,10,07,00,00,258.71625
2020,01,10,08,00,00,308.75538
2020,01,10,09,00,00,NaN
2020,01,10,10,00,00,342.34224
2020,01,10,11,00,00,341.63566
2020,01,10,12,00,00,284.40961
2020,01,10,13,00,00,294.21486
2020,01,10,14,00,00,305.95573
2020,01,10,15,00,00,306.43008
2020,01,10,16,00,00,289.0129
2020,01,10,17,00,00,369.24863
2020,01,10,18,00,00,333.09002
2020,01,10,19,00,00,342.83057
2020,01,10,20,00,00,344.41152
2020,01,10,21,00,00,358.20135
2020,01,10,22,00,00,353.90523
2020,01,10,23,00,00,363.18796
2020,01,11,00,00,00,368.87997
2020,01,11,01,00,00,311.96525
2020,01,11,02,00,00,248.23818
2020,01,11,03,00,00,234.6141
2020,01,11,04,00,00,220.96208
2020,01,11,05,00,00,221.88909
2020,01,11,06,00,00,217.94647
2020,01,11,07,00,00,217.52562
2020,01,11,08,00,00,215.54915
2020,01,11,09,00,00,221.17005
2020,01,11,10,00,00,217.37072
2020,01,11,11,00,00,212.76427
2020,01,11,12,00,00,203.81495
2020,01,11,13,00,00,200.83198
2020,01,11,14,00,00,201.6926
2020,01,11,15,00,00,194.41661
2020,01,11,16,00,00,186.50086
2020,01,11,17,00,00,185.79234
2020,01,11,18,00,00,190.30041
2020,01,11,19,00,00,193.96676
2020,01,11,20,00,00,192.65928
2020,01,11,21,00,00,188.35852
2020,01,11,22,00,00,187.86913
2020,01,11,23,00,00,186.20223
2020,01,12,00,00,00,184.83675
2020,01,12,01,00,00,188.63157
2020,01,12,02,00,00,188.90742
2020,01,12,03,00,00,190.5522
2020,01,12,04,00,00,191.89449
2020,01,12,05,00,00,194.30083
2020,01,12,06,00,00,193.7777
2020,01,12,07,00,00,191.31528
2020,01,12,08,00,00,188.89024
2020,01,12,09,00,00,186.7838
2020,01,12,10,00,00,181.60029
2020,01,12,11,00,00,179.83028
2020,01,12,12,00,00,179.09426
2020,01,12,13,00,00,175.74221
2020,01,12,14,00,00,170.13722
2020,01,12,15,00,00,170.17265
2020,01,12,16,00,00,175.58001
