Year,Month,Day,Hour,Minute,Second,KUM_META.t
2020,01,01,00,00,00,-1.57167
2020,01,01,01,00,00,-1.04333
2020,01,01,02,00,00,-0.625
2020,01,01,03,00,00,-0.255
2020,01,01,04,00,00,0.42667
2020,01,01,05,00,00,0.59
2020,01,01,06,00,00,0.54833
2020,01,01,07,00,00,0.89167
2020,01,01,08,00,00,1.305
2020,01,01,09,00,00,1.97833
2020,01,01,10,00,00,2.60667
2020,01,01,11,00,00,2.98333
2020,01,01,12,00,00,2.985
2020,01,01,13,00,00,3.40833
2020,01,01,14,00,00,3.67333
2020,01,01,15,00,00,3.30333
2020,01,01,16,00,00,3.03
2020,01,01,17,00,00,3.11833
2020,01,01,18,00,00,2.81167
2020,01,01,19,00,00,2.36333
2020,01,01,20,00,00,2.5
2020,01,01,21,00,00,2.57333
2020,01,01,22,00,00,2.71
2020,01,01,23,00,00,2.655
2020,01,02,00,00,00,2.77333
2020,01,02,01,00,00,2.43333
2020,01,02,02,00,00,2.4
2020,01,02,03,00,00,2.46167
2020,01,02,04,00,00,2.76
2020,01,02,05,00,00,2.88167
2020,01,02,06,00,00,2.88167
2020,01,02,07,00,00,3.00667
2020,01,02,08,00,00,3.14333
2020,01,02,09,00,00,3.43167
2020,01,02,10,00,00,3.67833
2020,01,02,11,00,00,4.12
2020,01,02,12,00,00,4.31
2020,01,02,13,00,00,4.145
2020,01,02,14,00,00,4.48667
2020,01,02,15,00,00,4.52333
2020,01,02,16,00,00,4.605
2020,01,02,17,00,00,5.09333
2020,01,02,18,00,00,5.23667
2020,01,02,19,00,00,5.03
2020,01,02,20,00,00,5.145
2020,01,02,21,00,00,5.355
2020,01,02,22,00,00,5.26
2020,01,02,23,00,00,5.13167
2020,01,03,00,00,00,5.08667
2020,01,03,01,00,00,5.075
2020,01,03,02,00,00,5.13333
2020,01,03,03,00,00,5.00167
2020,01,03,04,00,00,4.835
2020,01,03,05,00,00,4.98167
2020,01,03,06,00,00,4.95167
2020,01,03,07,00,00,4.86833
2020,01,03,08,00,00,4.74167
2020,01,03,09,00,00,4.68833
2020,01,03,10,00,00,4.625
2020,01,03,11,00,00,4.555
2020,01,03,12,00,00,4.47333
2020,01,03,13,00,00,4.33667
2020,01,03,14,00,00,4.41
2020,01,03,15,00,00,4.74667
2020,01,03,16,00,00,5.13667
2020,01,03,17,00,00,5.46833
2020,01,03,18,00,00,5.61667
2020,01,03,19,00,00,5.54167
2020,01,03,20,00,00,4.92167
2020,01,03,21,00,00,4.495
2020,01,03,22,00,00,3.815
2020,01,03,23,00,00,3.06333
2020,01,04,00,00,00,2.515
2020,01,04,01,00,00,2.06167
2020,01,04,02,00,00,2.65
2020,01,04,03,00,00,3.62333
2020,01,04,04,00,00,2.92667
2020,01,04,05,00,00,3
2020,01,04,06,00,00,2.69667
2020,01,04,07,00,00,2.57167
2020,01,04,08,00,00,2.19667
2020,01,04,09,00,00,1.755
2020,01,04,10,00,00,1.925
2020,01,04,11,00,00,2.08333
2020,01,04,12,00,00,2.20667
2020,01,04,13,00,00,2.51333
2020,01,04,14,00,00,2.91167
2020,01,04,15,00,00,2.97667
2020,01,04,16,00,00,2.66667
2020,01,04,17,00,00,2.82
2020,01,04,18,00,00,2.79667
2020,01,04,19,00,00,2.38667
2020,01,04,20,00,00,2.04667
2020,01,04,21,00,00,1.81333
2020,01,04,22,00,00,1.32667
2020,01,04,23,00,00,0.9
2020,01,05,00,00,00,0.37167
2020,01,05,01,00,00,0.10333
2020,01,05,02,00,00,-0.18167
2020,01,05,03,00,00,-0.43833
2020,01,05,04,00,00,-0.09833
2020,01,05,05,00,00,0.18667
2020,01,05,06,00,00,0.06667
2020,01,05,07,00,00,-0.42667
2020,01,05,08,00,00,-0.70167
2020,01,05,09,00,00,-1.29833
2020,01,05,10,00,00,-1.80667
2020,01,05,11,00,00,-2.04167
2020,01,05,12,00,00,-2.19667
2020,01,05,13,00,00,-1.845
2020,01,05,14,00,00,-1.76333
2020,01,05,15,00,00,-2.355
2020,01,05,16,00,00,-2.965
2020,01,05,17,00,00,-3.24
2020,01,05,18,00,00,-3.27833
2020,01,05,19,00,00,-3.27667
2020,01,05,20,00,00,-1.81667
2020,01,05,21,00,00,-0.06167
2020,01,05,22,00,00,0.71667
2020,01,05,23,00,00,-0.10167
2020,01,06,00,00,00,-0.37667
2020,01,06,01,00,00,-0.06333
2020,01,06,02,00,00,0.22167
2020,01,06,03,00,00,0.66833
2020,01,06,04,00,00,1.20167
2020,01,06,05,00,00,2.00667
2020,01,06,06,00,00,1.80833
2020,01,06,07,00,00,1.665
2020,01,06,08,00,00,1.57167
2020,01,06,09,00,00,1.455
2020,01,06,10,00,00,1.405
2020,01,06,11,00,00,1.41833
2020,01,06,12,00,00,1.45
2020,01,06,13,00,00,1.40667
2020,01,06,14,00,00,1.34667
2020,01,06,15,00,00,1.18333
2020,01,06,16,00,00,0.95167
2020,01,06,17,00,00,0.80833
2020,01,06,18,00,00,1.365
2020,01,06,19,00,00,1.99833
2020,01,06,20,00,00,2.71833
2020,01,06,21,00,00,3.30167
2020,01,06,22,00,00,3.72
2020,01,06,23,00,00,3.865
2020,01,07,00,00,00,3.99667
2020,01,07,01,00,00,4.08833
2020,01,07,02,00,00,4.17
2020,01,07,03,00,00,4.00333
2020,01,07,04,00,00,4
2020,01,07,05,00,00,3.995
2020,01,07,06,00,00,3.99667
2020,01,07,07,00,00,3.95
2020,01,07,08,00,00,4.06667
2020,01,07,09,00,00,4.27833
2020,01,07,10,00,00,4.38167
2020,01,07,11,00,00,4.865
2020,01,07,12,00,00,5.505
2020,01,07,13,00,00,5.52
2020,01,07,14,00,00,5.365
2020,01,07,15,00,00,5.21667
2020,01,07,16,00,00,4.865
2020,01,07,17,00,00,4.715
2020,01,07,18,00,00,4.43
2020,01,07,19,00,00,4.35167
2020,01,07,20,00,00,4.41167
2020,01,07,21,00,00,4.65667
2020,01,07,22,00,00,4.81667
2020,01,07,23,00,00,4.62667
2020,01,08,00,00,00,4.405
2020,01,08,01,00,00,4.21833
2020,01,08,02,00,00,4.26167
2020,01,08,03,00,00,4.40167
2020,01,08,04,00,00,4.485
2020,01,08,05,00,00,4.60167
2020,01,08,06,00,00,4.51167
2020,01,08,07,00,00,4.645
2020,01,08,08,00,00,4.84833
2020,01,08,09,00,00,4.56
2020,01,08,10,00,00,4.47
2020,01,08,11,00,00,4.78167
2020,01,08,12,00,00,5.06167
2020,01,08,13,00,00,5.345
2020,01,08,14,00,00,5.79833
2020,01,08,15,00,00,5.975
2020,01,08,16,00,00,6.195
2020,01,08,17,00,00,6.51667
2020,01,08,18,00,00,6.73
2020,01,08,19,00,00,7.34667
2020,01,08,20,00,00,7.15167
2020,01,08,21,00,00,6.56333
2020,01,08,22,00,00,5.77
2020,01,08,23,00,00,5.14333
2020,01,09,00,00,00,4.79167
2020,01,09,01,00,00,4.32833
2020,01,09,02,00,00,3.67833
2020,01,09,03,00,00,3.26
2020,01,09,04,00,00,3.14333
2020,01,09,05,00,00,3.01667
2020,01,09,06,00,00,3.11667
2020,01,09,07,00,00,3.00833
2020,01,09,08,00,00,2.92333
2020,01,09,09,00,00,2.91667
2020,01,09,10,00,00,3.17333
2020,01,09,11,00,00,3.625
2020,01,09,12,00,00,3.89833
2020,01,09,13,00,00,4.00667
2020,01,09,14,00,00,4.06
2020,01,09,15,00,00,3.60833
2020,01,09,16,00,00,3.16333
2020,01,09,17,00,00,2.56667
2020,01,09,18,00,00,1.95667
2020,01,09,19,00,00,1.32333
2020,01,09,20,00,00,0.795
2020,01,09,21,00,00,0.675
2020,01,09,22,00,00,0.385
2020,01,09,23,00,00,-0.09667
2020,01,10,00,00,00,-0.28
2020,01,10,01,00,00,-0.31167
2020,01,10,02,00,00,-0.27833
2020,01,10,03,00,00,-0.52333
2020,01,10,04,00,00,-0.44333
2020,01,10,05,00,00,-0.54333
2020,01,10,06,00,00,-0.7
2020,01,10,07,00,00,-0.65167
2020,01,10,08,00,00,-0.76833
2020,01,10,09,00,00,-1.01167
2020,01,10,10,00,00,-0.78667
2020,01,10,11,00,00,-0.56333
2020,01,10,12,00,00,0.275
2020,01,10,13,00,00,0.67667
2020,01,10,14,00,00,0.55
2020,01,10,15,00,00,0.26333
2020,01,10,16,00,00,0.14667
2020,01,10,17,00,00,0.03167
2020,01,10,18,00,00,-0.765
2020,01,10,19,00,00,-1.115
2020,01,10,20,00,00,-1.91167
2020,01,10,21,00,00,-2.255
2020,01,10,22,00,00,-2.15833
