Year,Month,Day,Hour,Minute,Second,KUM_META.ws
2020,01,01,00,00,00,3.03667
2020,01,01,01,00,00,3.12833
2020,01,01,02,00,00,3.165
2020,01,01,03,00,00,3.70833
2020,01,01,04,00,00,4.44
2020,01,01,05,00,00,3.995
2020,01,01,06,00,00,3.85
2020,01,01,07,00,00,3.91
2020,01,01,08,00,00,3.96667
2020,01,01,09,00,00,3.445
2020,01,01,10,00,00,2.92833
2020,01,01,11,00,00,2.78167
2020,01,01,12,00,00,3.38833
2020,01,01,13,00,00,3.67167
2020,01,01,14,00,00,4.59167
2020,01,01,15,00,00,4.41167
2020,01,01,16,00,00,4.82333
2020,01,01,17,00,00,5.42333
2020,01,01,18,00,00,4.65833
2020,01,01,19,00,00,5.02333
2020,01,01,20,00,00,4.895
2020,01,01,21,00,00,4.50833
2020,01,01,22,00,00,4.89667
2020,01,01,23,00,00,4.835
2020,01,02,00,00,00,4.12
2020,01,02,01,00,00,4.33167
2020,01,02,02,00,00,4.02667
2020,01,02,03,00,00,4.30333
2020,01,02,04,00,00,4.57
2020,01,02,05,00,00,4.14
2020,01,02,06,00,00,4.19167
2020,01,02,07,00,00,4.57333
2020,01,02,08,00,00,4.27833
2020,01,02,09,00,00,4.41
2020,01,02,10,00,00,4.175
2020,01,02,11,00,00,2.895
2020,01,02,12,00,00,2.90667
2020,01,02,13,00,00,3.52667
2020,01,02,14,00,00,3.8
2020,01,02,15,00,00,4.34333
2020,01,02,16,00,00,4.96167
2020,01,02,17,00,00,6.05167
2020,01,02,18,00,00,5.25
2020,01,02,19,00,00,5.64333
2020,01,02,20,00,00,5.97
2020,01,02,21,00,00,5.22667
2020,01,02,22,00,00,5.59333
2020,01,02,23,00,00,5.74
2020,01,03,00,00,00,6.91
2020,01,03,01,00,00,6.35833
2020,01,03,02,00,00,6.28167
2020,01,03,03,00,00,5.96
2020,01,03,04,00,00,7.395
2020,01,03,05,00,00,7.34667
2020,01,03,06,00,00,7.125
2020,01,03,07,00,00,7.25667
2020,01,03,08,00,00,8.59
2020,01,03,09,00,00,8.095
2020,01,03,10,00,00,9.025
2020,01,03,11,00,00,8.355
2020,01,03,12,00,00,8.045
2020,01,03,13,00,00,8.8
2020,01,03,14,00,00,8.19333
2020,01,03,15,00,00,7.875
2020,01,03,16,00,00,7.41
2020,01,03,17,00,00,6.82833
2020,01,03,18,00,00,5.615
2020,01,03,19,00,00,4.76167
2020,01,03,20,00,00,5.43167
2020,01,03,21,00,00,5.06667
2020,01,03,22,00,00,5.59167
2020,01,03,23,00,00,5.47167
2020,01,04,00,00,00,4.61833
2020,01,04,01,00,00,3.76833
2020,01,04,02,00,00,4.56667
2020,01,04,03,00,00,5.21833
2020,01,04,04,00,00,4.32167
2020,01,04,05,00,00,5.10667
2020,01,04,06,00,00,4.08833
2020,01,04,07,00,00,4.695
2020,01,04,08,00,00,3.72667
2020,01,04,09,00,00,3.675
2020,01,04,10,00,00,4.90167
2020,01,04,11,00,00,4.54167
2020,01,04,12,00,00,5.23333
2020,01,04,13,00,00,4.84333
2020,01,04,14,00,00,4.85333
2020,01,04,15,00,00,5.63
2020,01,04,16,00,00,4.68
2020,01,04,17,00,00,5.07333
2020,01,04,18,00,00,6.685
2020,01,04,19,00,00,6.13
2020,01,04,20,00,00,6.40667
2020,01,04,21,00,00,5.73833
2020,01,04,22,00,00,5.285
2020,01,04,23,00,00,4.78
2020,01,05,00,00,00,5.675
2020,01,05,01,00,00,5.37333
2020,01,05,02,00,00,5.19667
2020,01,05,03,00,00,5.075
2020,01,05,04,00,00,4.97167
2020,01,05,05,00,00,5.21333
2020,01,05,06,00,00,6.085
2020,01,05,07,00,00,6.75333
2020,01,05,08,00,00,4.475
2020,01,05,09,00,00,5.84333
2020,01,05,10,00,00,4.52
2020,01,05,11,00,00,4.29167
2020,01,05,12,00,00,3.54333
2020,01,05,13,00,00,3.15
2020,01,05,14,00,00,2.61167
2020,01,05,15,00,00,1.98
2020,01,05,16,00,00,1.20167
2020,01,05,17,00,00,1.18667
2020,01,05,18,00,00,1.87
2020,01,05,19,00,00,1.83833
2020,01,05,20,00,00,2.325
2020,01,05,21,00,00,3.32833
2020,01,05,22,00,00,4.97667
2020,01,05,23,00,00,5.84
2020,01,06,00,00,00,5.875
2020,01,06,01,00,00,6.47167
2020,01,06,02,00,00,6.495
2020,01,06,03,00,00,6.015
2020,01,06,04,00,00,5.24667
2020,01,06,05,00,00,3.41167
2020,01,06,06,00,00,2.56833
2020,01,06,07,00,00,2.88167
2020,01,06,08,00,00,2.99
2020,01,06,09,00,00,2.785
2020,01,06,10,00,00,3.06
2020,01,06,11,00,00,2.87833
2020,01,06,12,00,00,2.92333
2020,01,06,13,00,00,2.79833
2020,01,06,14,00,00,2.79667
2020,01,06,15,00,00,2.675
2020,01,06,16,00,00,1.87167
2020,01,06,17,00,00,2.77
2020,01,06,18,00,00,1.50833
2020,01,06,19,00,00,2.14
2020,01,06,20,00,00,2.99333
2020,01,06,21,00,00,3.65167
2020,01,06,22,00,00,3.62167
2020,01,06,23,00,00,4.405
2020,01,07,00,00,00,4.38
2020,01,07,01,00,00,4.09667
2020,01,07,02,00,00,3.85167
2020,01,07,03,00,00,4.15833
2020,01,07,04,00,00,4.53333
2020,01,07,05,00,00,4.855
2020,01,07,06,00,00,4.59333
2020,01,07,07,00,00,5.86
2020,01,07,08,00,00,5.395
2020,01,07,09,00,00,4.67833
2020,01,07,10,00,00,4.31333
2020,01,07,11,00,00,4.155
2020,01,07,12,00,00,3.77333
2020,01,07,13,00,00,4.33833
2020,01,07,14,00,00,4.67833
2020,01,07,15,00,00,5.11833
2020,01,07,16,00,00,5.32667
2020,01,07,17,00,00,4.725
2020,01,07,18,00,00,4.93333
2020,01,07,19,00,00,4.95
2020,01,07,20,00,00,5.67167
2020,01,07,21,00,00,5.36833
2020,01,07,22,00,00,6.29333
